Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Número de Mudanças,Tracção,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,Autonomia Máxima,Registo(s),Livro de Revisões completo,Inspecção válida até,IUC,Consumo Combinado,Sub-modelo,Filtro de partículas,Autonomia,Consumo,Garantia de Fábrica até,ou até,IVA Discriminado,Capacidade da bateria,Bateria,Clássico,Gancho de Reboque,Tempo de carregamento,Site,Portugal,Data
Profissional,Mercedes-Benz,C 220,CDi Avantgarde BlueEfficiency Aut.,Diesel,Março,2012,346 000 km,2 143 cm3,170 cv,,Sim,Sim,Carrinha,Preto,Metalizado,Automática,5,5,Classe 1,18 Meses,,Sim,,Usados,13 990        EUR,8090641323,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-cdi-avantgarde-blueefficiency-aut-ID8PxwoT.html,6,Tracção traseira,157 g/km,"8,20 l/100km","4,70 l/100km",,,,14/03/2024,,,Classe C,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,Punto,1.3 M-Jet Lounge S&S,Diesel,Setembro,2013,117 000 km,1 248 cm3,85 cv,,,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,,18 Meses,Nacional,Sim,Sim,Usados,8 500        EUR,8090407142,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-3-m-jet-lounge-s-s-ID8PvvtM.html,5,Tracção dianteira,90 g/km,"4,40 l/100km","2,90 l/100km",,,,24/09/2023,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Ibiza,SC 1.6 TDi FR,Diesel,Junho,2014,112 989 km,1 598 cm3,105 cv,Sim,,,Citadino,Vermelho,,Manual,3,,,18 Meses,Nacional,,,Usados,12 990        EUR,8090590192,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-1-6-tdi-fr-ID8Pxi6c.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Kia,Picanto,1.0 CVVT More GPL,Gasolina,Novembro,2014,73 982 km,998 cm3,69 cv,,,,Citadino,Branco,Mate,Manual,5,5,Classe 1,,,,,Usados,8 600        EUR,8090340329,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/kia-picanto-1-0-cvvt-more-gpl-ID8Pvf69.html,5,Tracção dianteira,110 g/km,"7,60 l/100km","4,70 l/100km",,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Twingo,SCe 65 LIFE,Gasolina,Maio,2015,93 000 km,998 cm3,65 cv,Sim,Sim,Sim,Citadino,Branco,,Manual,5,4,Classe 1,18 Meses,Importado,Sim,Sim,Usados,8 450        EUR,8090585640,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-sce-65-life-ID8PxgUM.html,5,Tracção traseira,100 g/km,"5,30 l/100km","3,80 l/100km",,,Sim,13/05/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,500C,1.2 Lounge,Gasolina,Julho,2016,53 579 km,1 242 cm3,69 cv,Sim,,,Cabrio,Vermelho,,Manual,2,,,18 Meses,Nacional,,,Usados,13 990        EUR,8089870195,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-lounge-ID8PugNl.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Clio Sport Tourer,0.9 TCe Limited Edition,Gasolina,Junho,2019,86 000 km,898 cm3,90 cv,,,,Carrinha,Cinzento,Metalizado,Manual,5,,,18 Meses,,,,Usados,13 000        EUR,8088850531,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-0-9-tce-limited-edition-ID8PpZx9.html,,,,"5,70 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,VW,Golf Variant,1.6 TDI DPF MATCH,Diesel,Agosto,2012,265 000 km,1 598 cm3,105 cv,,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,Importado,,Sim,Usados,9 900        EUR,8090149473,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-dpf-match-ID8PwrrP.html,5,Tracção dianteira,119 g/km,"5,70 l/100km","3,90 l/100km",,,Sim,15/08/2023,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,VW,Golf Variant,1.6 TDi Highline,Diesel,Junho,2010,161 000 km,1 598 cm3,105 cv,,Sim,Sim,Carrinha,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,,Sim,Usados,9 900        EUR,8089765603,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-highline-ID8PtPAn.html,5,Tracção dianteira,102 g/km,"4,90 l/100km","3,30 l/100km",,,Sim,12/06/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Audi,A6 Avant,2.7 TDi V6 Limited Edition,Diesel,Fevereiro,2010,208 185 km,2 698 cm3,190 cv,,,,Carrinha,Preto,,Manual,5,5,Classe 1,,Nacional,Sim,Sim,Usados,14 000        EUR,8090731376,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a6-avant-2-7-tdi-v6-limited-edition-ID8PxSPm.html,6,Tracção dianteira,164 g/km,"8,30 l/100km",5 l/100km,,,Sim,04/02/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,500,1.2 Lounge,Gasolina,Abril,2014,103 302 km,1 242 cm3,69 cv,,Sim,,Citadino,Preto,,Manual,3,4,,18 Meses,Importado,,,Usados,10 370        EUR,8090581592,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PxfRu.html,5,Tracção dianteira,129 g/km,"5,90 l/100km","4,40 l/100km",,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,500C,0.9 8V TwinAir by Gucci,Gasolina,Outubro,2011,108 000 km,875 cm3,85 cv,,Sim,Sim,Cabrio,Preto,,Manual,2,4,,18 Meses,,Sim,Sim,Usados,13 750        EUR,8089125657,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-0-9-8v-twinair-by-gucci-ID8Pr96F.html,,Tracção dianteira,95 g/km,"4,70 l/100km",,,1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Crossland X,1.2 Edition FlexFuel,GPL,Março,2018,147 000 km,1 199 cm3,81 cv,Sim,,,SUV / TT,Branco,,Manual,5,5,,18 Meses,Nacional,,,Usados,14 990        EUR,8088667005,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-crossland-x-1-2-edition-flexfuel-ID8PpdN3.html,,,,"6,40 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Dacia,Duster,1.2 TCe SL Best Choice,Gasolina,Outubro,2016,115 000 km,1 197 cm3,125 cv,Sim,,,SUV / TT,Preto,,Manual,5,5,,18 Meses,Nacional,,,Usados,14 990        EUR,8090492735,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/dacia-duster-1-2-tce-sl-best-choice-ID8PvSKj.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,208,1.2 PureTech GT Line,Gasolina,Setembro,2015,112 871 km,1 199 cm3,110 cv,,Sim,,Utilitário,Preto,,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,14 190        EUR,8090099626,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-gt-line-ID8PwetQ.html,5,Tracção dianteira,103 g/km,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Toyota,Aygo,1.0 + AC,Gasolina,Abril,2010,164 000 km,998 cm3,68 cv,,,,Citadino,Cinzento,Metalizado,Manual,5,4,Classe 1,18 Meses,Importado,Sim,Sim,Usados,5 750        EUR,8090585741,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/toyota-aygo-1-0-ac-ID8PxgVp.html,5,Tracção dianteira,108 g/km,"5,50 l/100km","4,10 l/100km",,,,13/04/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Ford,Mondeo SW,2.0 TDCi Titanium Aut.,Diesel,Maio,2011,177 704 km,1 997 cm3,163 cv,,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,11 250        EUR,8059348798,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-mondeo-sw-2-0-tdci-titanium-aut-ID8NqcMK.html,6,Tracção dianteira,,"7,20 l/100km",,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Volvo,V60,1.6 D2 Drive V.Ocean Race Start/Stop,Diesel,Maio,2013,186 000 km,1 560 cm3,115 cv,Sim,Sim,Sim,Carrinha,Azul,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,13 690        EUR,8090611349,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v60-1-6-d2-drive-v-ocean-race-start-stop-ID8PxnBr.html,6,Tracção dianteira,,"5,20 l/100km",,,1,Sim,01/05/2024,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Smart,ForTwo Coupé,1.0 Proxy 71,Gasolina,Novembro,2014,144 000 km,999 cm3,71 cv,,Sim,Sim,Citadino,Branco,,Manual,3,2,,18 Meses,Nacional,,,Usados,9 950        EUR,8090093466,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-proxy-71-ID8PwcSu.html,,,,,,,,,01/11/2023,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,5008,1.6 E-HDi 7L Allure 2-Tronic,Diesel,Maio,2013,201 513 km,1 560 cm3,115 cv,Sim,Sim,Sim,Monovolume,Preto,,Automática,5,7,,18 Meses,,,,Usados,11 900        EUR,8089780952,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-6-e-hdi-7l-allure-2-tronic-ID8PtTzV.html,,,,,,,,,01/05/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Opel,Corsa,1.4 Enjoy FlexFuel,GPL,Novembro,2015,72 600 km,1 398 cm3,90 cv,Sim,,,Citadino,Cinzento,,Manual,5,,,,Nacional,Sim,Sim,Usados,12 500        EUR,8090730689,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-4-enjoy-flexfuel-ID8PxSEh.html,5,Tracção dianteira,129 g/km,"7,10 l/100km","4,70 l/100km",,1,Sim,06/11/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Mercedes-Benz,C 220,CDi Classic BlueEfficiency Aut.,Diesel,Dezembro,2011,419 000 km,2 143 cm3,170 cv,,,,Carrinha,Cinzento,Metalizado,Automática,5,,Classe 1,,Importado,Sim,Sim,Usados,11 900        EUR,8090573100,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-cdi-classic-blueefficiency-aut-ID8PxdEv.html,5,Tracção traseira,157 g/km,"8,20 l/100km","4,70 l/100km",,,,,,,Classe C,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Smart,ForTwo Coupé,0.9 Passion 90,Gasolina,Junho,2016,106 000 km,898 cm3,90 cv,,,,Pequeno citadino,Preto,,Manual,3,,,,,,,Usados,8 850        EUR,8090307640,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-0-9-passion-90-ID8Pv6AU.html,,,,"6,30 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Ford,Fiesta,1.0 Ti-VCT Titanium,Gasolina,Abril,2015,132 000 km,998 cm3,80 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,10 900        EUR,8090726789,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-ti-vct-titanium-ID8PxRDn.html,5,,,,,,1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Fevereiro,2018,188 000 km,1 598 cm3,115 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,13 900        EUR,8090713969,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PxOiB.html,5,,,,,,1,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Kia,Rio,1.2 CVVT LX,Gasolina,Janeiro,2016,85 094 km,1 248 cm3,85 cv,Sim,Sim,Sim,Citadino,Prateado,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,,Sim,Usados,12 870        EUR,8090298657,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/kia-rio-1-2-cvvt-lx-ID8Pv4g1.html,5,,,,,,1,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Clio,0.9 TCe Limited,Gasolina,Outubro,2017,92 854 km,898 cm3,90 cv,Sim,Sim,Sim,Citadino,Branco,,Manual,5,5,Classe 1,18 Meses,Importado,,Sim,Usados,13 970        EUR,8088270080,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-ID8Pnyx2.html,5,,,,,,1,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Junho,2019,70 000 km,1 248 cm3,95 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,14 900        EUR,8090690474,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PxIbE.html,5,,,,,,1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Março,2019,74 330 km,1 242 cm3,69 cv,Sim,,,Utilitário,Branco,,Manual,3,4,Classe 1,18 Meses,Nacional,,Sim,Usados,13 980        EUR,8090033346,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-s-s-ID8PuXeO.html,5,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Hyundai,i20,1.2 Blue GO!,Gasolina,Abril,2018,38 542 km,1 248 cm3,84 cv,Sim,Sim,Sim,Citadino,Azul,,Manual,5,5,Classe 1,18 Meses,Importado,,Sim,Usados,14 670        EUR,8090293391,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-i20-1-2-blue-go-ID8Pv2T5.html,,,,,,,1,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Dynamique,Diesel,Junho,2011,298 900 km,1 461 cm3,110 cv,,,,Carrinha,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,Importado,,Sim,Usados,8 250        EUR,8090603051,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-dynamique-ID8PxlrB.html,6,Tracção dianteira,114 g/km,"5,80 l/100km","4,20 l/100km",,,,,154 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Confort,Diesel,Abril,2012,251 207 km,1 461 cm3,90 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,,,Sim,Usados,6 950        EUR,8090615038,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-confort-ID8PxoyV.html,5,,,,,,1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,MINI,Countryman,One D,Diesel,Janeiro,2011,225 596 km,1 598 cm3,90 cv,Sim,Sim,Sim,Utilitário,Branco,,Manual,5,4,Classe 1,18 Meses,,,Sim,Usados,12 950        EUR,8090615036,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-countryman-one-d-ID8PxoyU.html,6,,,,,,1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Nissan,Micra,0.9 IG-T N-Connecta Lifestyle S/S,Gasolina,Setembro,2019,59 872 km,898 cm3,90 cv,Sim,,,Citadino,Cinzento,Metalizado,Manual,5,,,18 Meses,,Sim,Sim,Usados,14 999        EUR,8089812410,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-0-9-ig-t-n-connecta-lifestyle-s-s-ID8Pu1Lk.html,5,Tracção dianteira,104 g/km,"5,80 l/100km","3,90 l/100km",,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Ford,C-Max,,Diesel,Agosto,2014,204 000 km,1 560 cm3,115 cv,,,,Monovolume,Azul,,Manual,5,5,,,,Sim,Sim,Usados,9 400        EUR,8090585937,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-c-max-ID8PxgZz.html,6,Tracção dianteira,110 g/km,"4,90 l/100km","3,90 l/100km",,,,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,Punto,1.3 M-Jet Easy S&S,Diesel,Abril,2018,97 422 km,1 248 cm3,95 cv,,Sim,Sim,Citadino,Cinzento,,Manual,5,5,Classe 1,18 Meses,,,,Usados,12 990        EUR,8090683731,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-3-m-jet-easy-s-s-ID8PxGqT.html,5,Tracção dianteira,,"4,40 l/100km",,,,,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Ford,Courier,,Diesel,Março,2017,72 000 km,1 600 cm3,70 cv,,,,Carrinha,Cinzento,,Manual,4,,,,,,,Usados,8 750        EUR,8089489127,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-courier-ID8PsFF5.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,BMW,116,d EDynamics Line Sport,Diesel,Abril,2013,152 000 km,1 598 cm3,116 cv,,,Sim,Utilitário,Azul,Metalizado,Manual,5,5,Classe 1,24 Meses,Nacional,,Sim,Usados,14 900        EUR,8090422424,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-edynamics-line-sport-ID8PvAsg.html,6,Tracção traseira,,"4,40 l/100km",,,1,Sim,01/08/2024,,,Série 1,Sim,,,01/08/2025,250 000 km,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,iOn,Standard,Eléctrico,Setembro,2013,65 000 km,,67 cv,Sim,Sim,Sim,Citadino,Branco,,Automática,5,4,Classe 1,18 Meses,,,Sim,Usados,7 990        EUR,8090240624,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-ion-standard-ID8PwPa0.html,,,,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Ibiza ST,1.0 Reference,Gasolina,Junho,2016,118 000 km,999 cm3,75 cv,Sim,Sim,Sim,Carrinha,Cinzento,,Manual,5,5,Classe 1,18 Meses,Nacional,,Sim,Usados,12 990        EUR,8089910413,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-st-1-0-reference-ID8Purg1.html,,,,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Dacia,Sandero,0.9 TCe SL Stepway of Life Easy-R,Gasolina,Outubro,2017,49 873 km,898 cm3,90 cv,,Sim,,Citadino,Cinzento,Metalizado,Automática,5,5,,18 Meses,,Sim,Sim,Usados,14 749        EUR,8089525742,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-sl-stepway-of-life-easy-r-ID8PsPbE.html,,,,"5,70 l/100km",,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Citroën,DS5,2.0 HDi Hybrid4 Sport Chic CMP6,Híbrido (Diesel),Dezembro,2013,311 100 km,1 997 cm3,200 cv,,,,Utilitário,Cinzento,Metalizado,Automática,5,5,Classe 1,,Importado,Sim,Sim,Usados,10 900        EUR,8090659822,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds5-2-0-hdi-hybrid4-sport-chic-cmp6-ID8PxAdg.html,6,Integral,107 g/km,"4,20 l/100km",4 l/100km,,2,,01/07/2024,230 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Mégane,,Diesel,Maio,2015,421 000 km,1 461 cm3,110 cv,,,,Utilitário,Cinzento,,Manual,5,5,,36 Meses,,,,Usados,7 000        EUR,8090675564,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-ID8PxEja.html,,,90 g/km,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,VW,Polo,1.0 Confortline,Gasolina,Junho,2017,129 000 km,999 cm3,75 cv,Sim,Sim,Sim,Utilitário,Branco,,Manual,5,5,Classe 1,18 Meses,Nacional,,Sim,Usados,12 990        EUR,8090434326,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-confortline-ID8PvDye.html,,,,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Honda,Civic,1.6 i-DTEC Sport,Diesel,Março,2013,175 000 km,1 597 cm3,120 cv,,,,Utilitário,Preto,Metalizado,Manual,5,5,Classe 1,,Nacional,Sim,Sim,Usados,12 000        EUR,8090339381,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/honda-civic-1-6-i-dtec-sport-ID8PveQR.html,6,Tracção dianteira,98 g/km,4 l/100km,"3,60 l/100km",,2,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Smart,ForTwo Coupé,1.0 Passion 71,Gasolina,Fevereiro,2017,102 693 km,999 cm3,71 cv,,Sim,Sim,Coupé,Preto,Metalizado,Manual,3,2,Classe 1,18 Meses,,Sim,Sim,Usados,9 980        EUR,8088000197,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-ID8Pmqk5.html,5,,,,,,2,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Captur,1.5 dCi,Diesel,Novembro,2016,144 000 km,1 461 cm3,90 cv,,Sim,Sim,SUV / TT,Cinzento,,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 990        EUR,8090660089,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-ID8PxAhz.html,5,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Astra Sports Tourer,1.0 Business Edition S/S,Gasolina,Fevereiro,2019,84 000 km,999 cm3,105 cv,Sim,Sim,Sim,Carrinha,Cinzento,,Manual,5,5,Classe 1,36 Meses,Nacional,Sim,Sim,Usados,14 450        EUR,8090589487,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-0-business-edition-s-s-ID8PxhUP.html,5,Tracção dianteira,130 g/km,"5,40 l/100km","4,20 l/100km",,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,VW,Jetta,2.0 TDI Trendline,Diesel,Agosto,2017,230 000 km,1 968 cm3,110 cv,,Sim,Sim,Sedan,Cinzento,Metalizado,Manual,4,5,,18 Meses,,,,Usados,10 980        EUR,8090626015,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-jetta-2-0-tdi-trendline-ID8PxrpZ.html,,,,5 l/100km,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Ford,Fiesta,1.0 Ti-VCT Titanium,Gasolina,Maio,2016,104 430 km,998 cm3,80 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,,Sim,Usados,11 750        EUR,8089702347,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-ti-vct-titanium-ID8Ptz87.html,5,Tracção dianteira,,,,,1,,30/05/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,308 SW,1.6 BlueHDi Style,Diesel,Dezembro,2015,144 000 km,1 560 cm3,120 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,12 400        EUR,8090640154,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-style-ID8Pxw62.html,6,,,,,,2,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Citroën,C3,,Gasolina,Abril,2017,147 356 km,1 199 cm3,68 cv,,Sim,Sim,Citadino,Branco,,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,11 790        EUR,8090593702,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-ID8Pxj0O.html,,,,,,,1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Skoda,Octavia Break,1.6 TDI Ambition,Diesel,Março,2017,137 360 km,1 598 cm3,90 cv,Sim,Sim,Sim,Carrinha,Azul,Metalizado,Manual,5,5,Classe 1,18 Meses,,,Sim,Usados,14 990        EUR,8089058621,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/skoda-octavia-break-1-6-tdi-ambition-ID8PqRFr.html,5,,106 g/km,,,,,,30/03/2023,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Toyota,Yaris,1.0 VVT-i 20 Anos,Gasolina,Setembro,2019,72 399 km,998 cm3,72 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,4,Classe 1,18 Meses,,,Sim,Usados,14 990        EUR,8090258055,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-20-anos-ID8PwTH9.html,5,,104 g/km,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge,Diesel,Junho,2018,102 400 km,1 248 cm3,95 cv,,Sim,Sim,Carrinha,Preto,,Manual,5,5,,24 Meses,Nacional,Sim,Sim,Usados,13 950        EUR,8090192414,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-ID8PwCCq.html,,,,,,,,Sim,,,,,,,,,,Sim,,,,,,StandVirtual,Yes,2023-10-01
